諍	诤
鏞	镛
騣	鬃
体	体
鍈	锳
貓	猫
負	负
鉅	巨
澮	浍
鐮	镰
誇	夸
蘋	苹
貲	赀
罎	坛
鴻	鸿
坰	垧
鐔	镡
豬	猪
鶊	鹒
厙	厍
絡	络
銘	铭
儸	㑩
歲	岁
壢	坜
鍚	钖
鍛	锻
灣	湾
雙	双
漁	渔
釺	钎
個	个
輜	辎
匵	椟
淥	渌
錐	锥
涇	泾
銩	铥
慚	惭
棲	栖
鴛	鸳
錄	录
廩	廪
鸚	鹦
藝	艺
蟬	蝉
縹	缥
澆	浇
臍	脐
韁	缰
覔	觅
驟	骤
嬀	妫
鋒	锋
讋	詟
處	处
辯	辩
曄	晔
党	党
學	学
劏	㓥
鰼	鳛
侶	侣
詼	诙
瑪	玛
皺	皱
濰	潍
鍁	锨
勝	胜
綐	䌼
縲	缧
閫	阃
熾	炽
緜	绵
辮	辫
絲	丝
勳	勋
員	员
欞	棂
湞	浈
綆	绠
諄	谆
勵	励
聲	声
職	职
爗	烨
筧	笕
鷴	鹇
价	价
詖	诐
強	强
棟	栋
鯫	鲰
苹	苹
腎	肾
見	见
閎	闳
緤	绁
鰮	鳁
嬭	奶
孫	孙
仆	仆
寫	写
諫	谏
賢	贤
辳	农
瘍	疡
顢	颟
釷	钍
吊	吊
賮	赆
鶺	鹡
鷿	䴙
錫	锡
螻	蝼
儈	侩
譁	哗
鎳	镍
軲	轱
勁	劲
臒	癯
褳	裢
洩	泄
禿	秃
黷	黩
喦	岩
絶	绝
頽	颓
護	护
塋	茔
燼	烬
餖	饾
燦	灿
隉	陧
雖	虽
贓	赃
閙	闹
洶	汹
脛	胫
師	师
級	级
縚	绦
脣	唇
潷	滗
熱	热
貫	贯
准	准
齎	赍
虯	虬
攩	挡
嬝	袅
馭	驭
聖	圣
國	国
饑	饥
撥	拨
艱	艰
籤	签
澠	渑
燉	炖
漲	涨
喪	丧
頜	颌
